Experiment,Israeli,,
Mutant,WT,,
,mV ,Ave ,SE 
,-80,0.007308025,0.001288806
,-70,0.006972504,0.001408717
,-60,0.012529256,0.002357297
,-50,0.197720295,0.119649228
,-40,0.38959329,0.132382868
,-30,0.643046973,0.124460017
,-20,0.845484636,0.052374938
,-10,0.916136052,0.019993832
,0,0.941388361,0.019329989
,10,0.917878667,0.022822736
,20,0.91195495,0.049819363
,mV ,Ave ,SE 
,-130,0.965016,0.009163
,-120,0.978004,0.009399
,-110,0.947857,0.019494
,-100,0.929498,0.026316
,-90,0.84381,0.052124
,-80,0.797518,0.060076
,-70,0.685724,0.068725
,-60,0.494854,0.065653
,-50,0.255282,0.057372
,-40,0.099379,0.026332
,-30,0.056004,0.02016
,-20,0.053446,0.019977
,-10,0.026368,0.023032
,0,0.035902,0.020824
,ms,Ave ,SE 
,1,0.08335,0.036144
,2,0.315381,0.121118
,3,0.583943,0.112085
,4,0.707239,0.086944
,5,0.762894,0.082334
,6,0.795279,0.072935
,7,0.820189,0.065453
,8,0.831887,0.058623
,9,0.848061,0.057645
,10,0.829696,0.054481
,11,0.769775,0.07068
,12,0.811209,0.097585
,13,0.798074,0.095358
,14,0.835929,0.077462
,15,0.809056,0.104852
,mV ,Ave ,SE
,-80,0.01054791025,0.003569532764
,-70,0.0143597938,0.003588851077
,-60,0.01753455098,0.00516167691
,-50,0.02835709157,0.008899331874
,-40,0.1389121416,0.0921082025
,-30,0.4402916389,0.1321778634
,-20,0.7161515026,0.1056482516
,-10,0.8675265778,0.06646113048
,0,0.9559264583,0.02330609179
,10,0.9798038957,0.006536253389
,20,0.9861873173,0.004260550394
,mV ,Ave ,SE
,-130,0.938628,0.024091
,-120,0.965976,0.014737
,-110,0.922499,0.027156
,-100,0.92961,0.027002
,-90,0.928994,0.031953
,-80,0.896795,0.035221
,-70,0.91046,0.034308
,-60,0.824493,0.045253
,-50,0.724762,0.048418
,-40,0.525751,0.058683
,-30,0.257975,0.04244
,-20,0.155609,0.018981
,-10,0.111702,0.013043
,0,0.116889,0.017307
,ms,Ave ,SE
,1,0.201679,0.037142
,2,0.450949,0.044477
,3,0.724861,0.059408
,4,0.715813,0.025583
,5,0.754167,0.018372
,6,0.790444,0.043659
,7,0.820883,0.038587
,8,0.777029,0.007882
,9,0.869539,0.102807
,10,0.75202,0.034048
,11,0.908011,0.117656
,12,0.831765,0.04496
,13,0.770083,0.014359
,14,0.830189,0.047297
,15,0.834376,0.056027
